Rank,Player,Team,Position,Assists,Attempts_on_target,Attempts_At_Goal,Attempts_ at_goal_conversionrate(%),Attempts_Inside_PenaltyArea,Attempts_Outside_PenaltyArea,Headed_Attempts_at_Goal,xG,xG_Efficiency,Corners
1,Michael Olise,FRA,FW,7,5,20,0,10,10,0,2.34,0x,25
2,Martin Odegaard,NOR,MF,4,3,9,0,5,4,0,0.72,0x,12
2,Kylian Mbappe,FRA,FW,4,23,41,24,27,14,0,6.54,1.53x,5
2,Brahim Diaz,MAR,FW,4,1,6,0,4,2,0,0.31,0x,1
2,Bruno Guimaraes,BRA,MF,4,2,8,0,5,3,1,1.02,0x,8
2,Lionel Messi,ARG,FW,4,19,35,23,16,19,0,6.18,1.29x,38
7,Roberto Alvarado,MEX,FW,3,0,5,0,2,3,0,0.28,0x,14
7,Anthony Gordon,ENG,FW,3,4,6,17,6,0,2,0.7,1.43x,0
7,Florian Wirtz,GER,MF,3,1,10,0,5,5,0,0.97,0x,5
7,Andreas Schjelderup,NOR,MF,3,2,3,33,3,0,0,0.2,5.12x,0
7,Bukayo Saka,ENG,FW,3,7,13,23,11,2,1,1.72,1.74x,5
7,Alexander Isak,SWE,FW,3,6,8,13,5,3,1,0.68,1.48x,0
13,Chris Wood,NZL,FW,2,2,5,0,3,2,2,0.47,0x,0
13,Johan Manzambi,SUI,MF,2,3,6,50,4,2,0,0.63,4.73x,0
13,Breel Embolo,SUI,FW,2,5,10,20,8,2,2,2.58,0.78x,0
13,Dani Olmo,ESP,FW,2,2,13,0,7,6,2,1.16,0x,0
13,Marc Cucurella,ESP,DF,2,3,5,0,3,2,1,0.35,0x,0
13,Viktor Gyokeres,SWE,FW,2,6,12,8,9,3,0,1.39,0.72x,0
13,Nicolas Raskin,BEL,MF,2,1,2,0,2,0,1,0.13,0x,0
13,Patrick Berg,NOR,MF,2,0,3,0,0,3,0,0.29,0x,10
13,Joshua Kimmich,GER,DF,2,1,5,0,1,4,0,0.15,0x,15
13,Hans Vanaken,BEL,MF,2,1,5,20,4,1,0,0.64,1.56x,0
